tester,platform,testid
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0003c-sparql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0016d-mysql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0012a-mysql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0019b-postgresql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0003c-xml
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0004b-sparql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0015b-sqlserver
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0002a-sparql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0012a-sparql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0012d-postgresql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0007d-sparql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0005b-postgresql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0012c-json
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0000-xml
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0009b-sqlserver
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0019a-xml
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0015b-xml
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0002e-mysql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0002a-sqlserver
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0001a-csv
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0002g-json
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0007h-sparql
